time,latitude,longitude,average_temperature,temperature_RMS,average_conductivity,conductivity_RMS
2023-06-12 21:57:06,49.359867095947266,-0.3599885404109955,15.99669361114502,15.996698379516602,52370.5546875,52370.5625
2023-06-12 22:03:07,49.36153793334961,-0.361737459897995,15.96998405456543,15.969983100891113,52345.5546875,52345.55859375
2023-06-12 22:09:08,49.36329650878906,-0.36347973346710205,15.950081825256348,15.950084686279297,52328.890625,52328.88671875
2023-06-12 22:15:09,49.365055084228516,-0.3655855655670166,16.019994735717773,16.020706176757812,52411.109375,52411.3515625
2023-06-12 22:21:11,49.36667251586914,-0.3677854537963867,16.32685089111328,16.327072143554688,52742.77734375,52742.85546875
2023-06-12 22:27:31,49.36833953857422,-0.3701106309890747,16.27494239807129,16.274986267089844,52698.33203125,52698.359375
2023-06-12 22:33:32,49.36982345581055,-0.3722928762435913,16.168588638305664,16.168964385986328,52585.5546875,52585.67578125
2023-06-12 22:39:33,49.37114334106445,-0.37451279163360596,16.136075973510742,16.136106491088867,52555.5546875,52555.56640625
2023-06-12 22:45:35,49.37242126464844,-0.37662944197654724,16.091896057128906,16.091917037963867,52515.0,52515.00390625
2023-06-12 22:51:36,49.37356948852539,-0.3787631094455719,15.994757652282715,15.99476432800293,52413.33203125,52413.33984375
2023-06-12 22:57:38,49.37461853027344,-0.3808542490005493,16.015636444091797,16.015653610229492,52445.0,52445.00390625
2023-06-12 23:03:39,49.37560272216797,-0.3828437328338623,15.958324432373047,15.958348274230957,52389.4453125,52389.45703125
2023-06-12 23:09:40,49.37651062011719,-0.38464850187301636,15.957839965820312,15.957855224609375,52386.109375,52386.11328125
2023-06-12 23:15:42,49.37730407714844,-0.3862628936767578,15.909266471862793,15.909268379211426,52338.33203125,52338.33203125
2023-06-12 23:21:43,49.3779411315918,-0.38776615262031555,15.888846397399902,15.888848304748535,52325.5546875,52325.55859375
2023-06-12 23:28:01,49.378570556640625,-0.38926494121551514,15.876224517822266,15.876225471496582,52312.22265625,52312.22265625
2023-06-12 23:34:20,49.37911605834961,-0.39058321714401245,15.881086349487305,15.881098747253418,52332.77734375,52332.8046875
2023-06-12 23:40:39,49.3796272277832,-0.391772598028183,15.867000579833984,15.867010116577148,52315.5546875,52315.55859375
2023-06-12 23:46:40,49.38003921508789,-0.3928503096103668,15.891782760620117,15.891793251037598,52343.890625,52343.8984375
2023-06-12 23:52:41,49.38034439086914,-0.39363372325897217,15.91071891784668,15.910720825195312,52371.109375,52371.11328125
2023-06-12 23:58:43,49.380760192871094,-0.39471057057380676,15.900524139404297,15.900525093078613,52358.890625,52358.890625
2023-06-13 00:04:44,49.38103485107422,-0.3953748345375061,15.891765594482422,15.891767501831055,52353.33203125,52353.3359375
2023-06-13 00:10:46,49.38103485107422,-0.3953751027584076,15.89419937133789,15.89420223236084,52358.33203125,52358.33984375
2023-06-13 00:16:47,49.38103485107422,-0.3953751027584076,15.88447093963623,15.884472846984863,52352.22265625,52352.2265625
2023-06-13 00:22:49,49.38103485107422,-0.3953751027584076,15.873798370361328,15.873801231384277,52345.0,52345.00390625
2023-06-13 00:29:07,49.38103485107422,-0.3953751027584076,15.867008209228516,15.867006301879883,52341.66796875,52341.66796875
2023-06-13 00:35:26,49.38103485107422,-0.3953751027584076,15.869439125061035,15.869439125061035,52340.0,52340.0
2023-06-13 00:41:45,49.38103485107422,-0.3953751027584076,15.866024017333984,15.866032600402832,52356.66796875,52356.6796875
2023-06-13 00:48:03,49.38103485107422,-0.3953751027584076,15.887396812438965,15.88740062713623,52377.22265625,52377.23046875
2023-06-13 00:54:05,49.381248474121094,-0.39544716477394104,15.884957313537598,15.88495922088623,52373.890625,52373.890625
2023-06-13 01:00:06,49.38121032714844,-0.3949083685874939,15.888360023498535,15.888361930847168,52383.890625,52383.890625
2023-06-13 01:06:07,49.38090896606445,-0.39328792691230774,15.895658493041992,15.895661354064941,52396.66796875,52396.6640625
2023-06-13 01:12:09,49.380550384521484,-0.391400009393692,15.89711856842041,15.897120475769043,52406.66796875,52406.6640625
2023-06-13 01:18:10,49.38019943237305,-0.38953447341918945,15.892252922058105,15.892254829406738,52402.77734375,52402.78125
2023-06-13 01:24:11,49.37982940673828,-0.3874143362045288,15.885443687438965,15.885445594787598,52396.66796875,52396.6640625
2023-06-13 01:30:30,49.37935256958008,-0.3848211169242859,15.888843536376953,15.888848304748535,52397.22265625,52397.2265625
2023-06-13 01:36:49,49.37879943847656,-0.3819315433502197,15.87331771850586,15.873320579528809,52230.0,52230.15234375
2023-06-13 01:43:08,49.378116607666016,-0.3786267638206482,15.86310863494873,15.863112449645996,51823.33203125,51823.86328125
2023-06-13 01:49:27,49.37727737426758,-0.3749138116836548,15.825685501098633,15.825745582580566,51155.0,51161.87890625
2023-06-13 01:55:33,49.37635803222656,-0.3710280656814575,15.81257438659668,15.812639236450195,51126.109375,51130.078125
2023-06-13 02:01:34,49.37529373168945,-0.3669467866420746,15.862616539001465,15.862655639648438,51837.77734375,51840.01953125
2023-06-13 02:07:35,49.37400436401367,-0.36265748739242554,15.880105018615723,15.880106925964355,52184.4453125,52184.54296875
2023-06-13 02:13:36,49.37247085571289,-0.35822832584381104,15.875749588012695,15.875748634338379,52200.5546875,52200.61328125
2023-06-13 02:19:38,49.37074279785156,-0.35377931594848633,15.875749588012695,15.875748634338379,52274.4453125,52274.44921875
2023-06-13 02:25:39,49.36886215209961,-0.34933581948280334,15.872349739074707,15.872352600097656,52292.22265625,52292.2265625
2023-06-13 02:31:58,49.36687088012695,-0.344944566488266,15.85921859741211,15.859222412109375,52372.77734375,52372.78125
2023-06-13 02:38:17,49.36507797241211,-0.3412814736366272,15.854843139648438,15.854843139648438,52377.77734375,52377.78515625
2023-06-13 02:44:42,49.36333465576172,-0.3378232717514038,15.849003791809082,15.849002838134766,52384.4453125,52384.44921875
2023-06-13 02:50:44,49.361717224121094,-0.33461180329322815,15.842220306396484,15.8422212600708,52375.0,52375.0
2023-06-13 02:56:45,49.360172271728516,-0.331722229719162,15.836894989013672,15.836894035339355,52377.22265625,52377.22265625
2023-06-13 03:02:46,49.35872268676758,-0.3289657533168793,15.830571174621582,15.830570220947266,52377.77734375,52377.77734375
2023-06-13 03:08:48,49.357242584228516,-0.32620060443878174,15.828624725341797,15.82862377166748,52374.4453125,52374.4453125
2023-06-13 03:14:49,49.355716705322266,-0.3235948979854584,15.824727058410645,15.824729919433594,52376.66796875,52376.66796875
2023-06-13 03:20:50,49.35429763793945,-0.32125914096832275,15.818400382995605,15.818403244018555,52371.109375,52371.11328125
2023-06-13 03:26:52,49.35295867919922,-0.31901469826698303,15.813532829284668,15.813536643981934,52373.890625,52373.89453125
2023-06-13 03:33:10,49.35163497924805,-0.3167186379432678,15.810126304626465,15.810129165649414,52374.4453125,52374.4453125
2023-06-13 03:39:29,49.35035705566406,-0.31457075476646423,15.809639930725098,15.809645652770996,52384.4453125,52384.453125
